EmployeeID,Age,Department,Education,YearsAtCompany,Salary,PerformanceRating,WorkLifeBalance,JobSatisfaction,Attrition
E140,45,Engineering,PhD,18,95000,5,2,5,No
E141,33,HR,Master,7,63000,3,3,4,No
E142,26,Sales,Bachelor,1,44000,3,3,2,Yes
E143,38,Engineering,Master,11,81000,4,2,4,No
E144,31,Marketing,Bachelor,5,69000,3,3,4,No
E145,41,Sales,Bachelor,14,50000,2,4,1,Yes
E146,29,Engineering,Bachelor,4,74000,4,2,4,No
E147,36,HR,Bachelor,9,63000,3,3,4,No
E148,28,Sales,Bachelor,2,45000,3,3,3,Yes
E149,43,Engineering,Master,15,88000,5,2,5,No
E150,34,Marketing,Master,7,71000,4,3,4,No
E151,39,Sales,Bachelor,13,51000,2,4,2,Yes
E152,30,Engineering,Bachelor,5,75000,4,2,4,No
E153,35,HR,Master,8,64000,3,3,4,No
E154,27,Sales,Bachelor,1,43000,3,3,2,Yes
E155,42,Engineering,PhD,16,93000,5,2,5,No
E156,32,Marketing,Bachelor,6,69000,3,3,4,No
E157,37,Sales,Bachelor,11,49000,2,4,1,Yes
E158,29,Engineering,Master,4,76000,4,2,4,No
E159,33,HR,Bachelor,7,61000,3,3,4,No
E160,40,Sales,Bachelor,15,52000,2,4,2,Yes
E161,28,Engineering,Bachelor,3,73000,4,2,4,No
E162,36,Marketing,Master,9,72000,4,3,4,No
E163,31,Sales,Bachelor,5,47000,3,3,3,Yes
E164,44,Engineering,PhD,17,94000,5,2,5,No
E165,34,HR,Master,8,64000,3,3,4,No
E166,26,Sales,Bachelor,1,44000,3,3,2,Yes
E167,38,Engineering,Master,10,80000,4,2,4,No
E168,32,Marketing,Bachelor,6,70000,3,3,4,No
E169,41,Sales,Bachelor,14,50000,2,4,1,Yes
E170,30,Engineering,Bachelor,5,75000,4,2,4,No
E171,35,HR,Bachelor,8,62000,3,3,4,No
E172,28,Sales,Bachelor,2,46000,3,3,3,Yes
E173,43,Engineering,Master,16,89000,5,2,5,No
E174,33,Marketing,Master,7,71000,4,3,4,No
E175,39,Sales,Bachelor,12,51000,2,4,2,Yes
E176,29,Engineering,Bachelor,4,74000,4,2,4,No
E177,36,HR,Master,9,65000,3,3,4,No
E178,27,Sales,Bachelor,1,43000,3,3,2,Yes
E179,42,Engineering,PhD,14,92000,5,2,5,No
E180,31,Marketing,Bachelor,5,68000,3,3,4,No
E181,37,Sales,Bachelor,13,49000,2,4,1,Yes
E182,30,Engineering,Master,5,76000,4,2,4,No
E183,34,HR,Bachelor,7,62000,3,3,4,No
E184,40,Sales,Bachelor,16,52000,2,4,2,Yes
E185,28,Engineering,Bachelor,3,73000,4,2,4,No
E186,35,Marketing,Master,8,72000,4,3,4,No
E187,32,Sales,Bachelor,6,48000,3,3,3,Yes
E188,45,Engineering,PhD,18,96000,5,2,5,No
E189,33,HR,Master,7,63000,3,3,4,No
E190,26,Sales,Bachelor,1,44000,3,3,2,Yes
E191,38,Engineering,Master,11,81000,4,2,4,No
E192,31,Marketing,Bachelor,5,69000,3,3,4,No
E193,41,Sales,Bachelor,14,50000,2,4,1,Yes
E194,29,Engineering,Bachelor,4,74000,4,2,4,No
E195,36,HR,Bachelor,9,63000,3,3,4,No
E196,28,Sales,Bachelor,2,45000,3,3,3,Yes
E197,43,Engineering,Master,15,88000,5,2,5,No
E198,34,Marketing,Master,7,71000,4,3,4,No
E199,39,Sales,Bachelor,13,51000,2,4,2,Yes
E200,30,Engineering,Bachelor,5,75000,4,2,4,No
