id,country,job_role,ai_specialization,experience_level,experience_years,salary_usd,bonus_usd,education_required,industry,company_size,interview_rounds,year,work_mode,weekly_hours,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,offer_acceptance_rate,tax_rate_percent,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
14,Singapore,Data Scientist,NLP,Mid,5,88751,18538,PhD,Consulting,Enterprise,6,2023,Onsite,49.9,3.48,35,40.82316561354031,0.14,75,0.64,68.86,9,70.94,30.5,16,70,97,71,48,78,25,94,1.77,77
15,Japan,Data Analyst,Forecasting,Senior,7,64231,3378,Bootcamp,Telecom,Medium,5,2020,Remote,47.7,4.74,24,89.80376732973986,0.11,72,8.98,94.79,6,62.83,14.1,17,9,44,89,73,68,31,3,0.7,74
16,Brazil,Data Analyst,LLM,Mid,3,28000,4342,Master,Tech,Startup,2,2024,Remote,42.5,4.4,7,82.98860817945884,0.237,89,2.62,89.38,8,94.62,24.4,12,66,31,73,61,62,57,36,1.24,64
17,UAE,Computer Vision Engineer,Forecasting,Mid,4,83603,16504,Master,Energy,Small,5,2026,Hybrid,40.5,4.72,20,75.5986876385443,0.205,50,3.71,76.54,6,80.27,25.5,13,13,85,75,60,85,16,56,1.09,77
18,India,NLP Engineer,Computer Vision,Lead,12,57307,4937,Bachelor,Consulting,Startup,5,2026,Onsite,51.9,4.78,21,56.621306565669904,0.074,97,4.16,86.44,8,70.05,14.5,13,32,25,73,62,49,39,25,2.05,62
19,Singapore,Computer Vision Engineer,MLOps,Mid,3,102527,9461,Diploma,Telecom,Small,3,2020,Remote,46.9,3.56,2,44.664373921461774,0.203,61,7.09,97.98,10,55.49,41.1,27,13,7,80,61,58,32,84,0.59,67
20,Singapore,AI Engineer,Generative AI,Entry,0,59535,12335,Diploma,Retail,Small,5,2024,Remote,39.2,3.64,20,46.505444656777456,0.378,69,2.22,55.35,9,73.55,22.6,11,22,49,59,57,83,29,1,1.67,66
21,Australia,Research Scientist,Forecasting,Lead,15,172659,16263,Master,Automotive,Large,3,2020,Hybrid,47.5,4.44,17,43.384200234445245,0.068,65,2.72,71.42,6,94.41,23.3,11,75,95,85,51,56,54,70,2.0,72
22,USA,Software Engineer AI,Forecasting,Entry,0,94951,18340,Bootcamp,Tech,Enterprise,6,2025,Remote,37.1,4.61,27,26.300302141701394,0.389,70,8.24,86.63,3,56.88,20.1,26,11,24,64,67,89,12,9,0.54,76
23,Brazil,Machine Learning Engineer,Reinforcement Learning,Mid,3,43912,7960,Bootcamp,Telecom,Startup,6,2025,Remote,52.7,4.09,18,92.09346264787577,0.206,88,3.95,50.01,12,84.06,28.4,12,54,85,69,73,58,32,75,1.4,69
24,Brazil,Software Engineer AI,Reinforcement Learning,Senior,9,54437,7567,PhD,Retail,Medium,5,2026,Remote,50.6,3.84,23,76.81881579805183,0.0,85,0.82,83.37,13,62.2,32.9,30,39,59,88,50,58,25,41,1.32,57
25,Canada,AI Engineer,Computer Vision,Lead,19,183108,29935,Bachelor,Education,Enterprise,6,2026,Remote,37.7,4.02,14,40.321016680807205,0.182,65,1.32,53.63,11,70.09,12.1,18,17,45,69,42,88,68,9,2.24,88
26,Germany,Software Engineer AI,MLOps,Senior,6,97332,21185,Bootcamp,Healthcare,Large,7,2020,Onsite,46.1,4.38,18,68.83709485865192,0.14,83,6.9,55.03,3,77.56,37.2,27,39,85,83,65,64,34,14,0.68,67
27,UK,Research Scientist,NLP,Entry,1,67130,13519,PhD,Finance,Enterprise,4,2022,Onsite,37.7,4.78,25,54.856492456300884,0.297,95,5.2,78.32,6,64.49,15.1,20,27,88,78,76,98,12,82,0.81,82
28,France,Computer Vision Engineer,Generative AI,Senior,9,126464,8212,PhD,Tech,Startup,2,2023,Remote,51.6,3.38,19,87.31296201950134,0.175,83,6.88,78.58,8,66.55,29.4,14,82,34,60,86,49,46,21,0.81,72
29,Japan,Computer Vision Engineer,Computer Vision,Lead,15,139135,21003,Bachelor,Energy,Startup,7,2022,Remote,39.8,4.7,1,90.94614682317302,0.039,61,6.57,54.97,11,57.66,34.2,11,48,75,90,53,85,58,71,1.65,87
30,UK,NLP Engineer,Analytics,Mid,5,105101,20048,Bachelor,Tech,Medium,4,2020,Remote,40.5,4.4,23,47.036217251596646,0.173,82,6.09,72.65,13,64.29,39.0,17,86,14,77,71,82,48,46,1.27,78
31,Singapore,NLP Engineer,NLP,Mid,3,78117,6947,Diploma,Retail,Small,2,2020,Remote,49.2,3.25,29,76.86499707435786,0.22,39,1.75,76.34,14,85.5,38.3,20,53,86,74,35,57,24,95,1.18,73
32,Germany,Research Scientist,LLM,Mid,3,89465,10234,Diploma,Finance,Large,3,2026,Remote,45.2,3.94,10,100.0,0.216,100,4.0,97.1,10,61.13,29.6,21,40,30,82,83,71,27,29,1.51,68
33,USA,Data Analyst,Computer Vision,Lead,12,110907,19235,PhD,Gaming,Medium,4,2026,Onsite,37.3,3.29,19,44.152339504504326,0.046,59,0.92,63.44,11,87.11,12.1,22,87,69,82,35,94,50,43,1.17,84
34,USA,Machine Learning Engineer,MLOps,Senior,9,158412,32692,Bachelor,Healthcare,Enterprise,2,2024,Onsite,40.3,4.02,7,48.955875412777694,0.012,53,4.41,98.65,9,73.36,28.7,21,94,41,89,43,96,15,56,2.22,93
35,Brazil,Machine Learning Engineer,MLOps,Lead,18,108016,14622,Bachelor,Education,Small,7,2020,Hybrid,53.1,3.73,11,67.13704843744196,0.046,74,2.11,49.15,3,85.13,20.2,26,69,88,81,59,70,22,93,2.29,65
36,Japan,Data Analyst,Analytics,Senior,7,68211,3704,Bootcamp,Telecom,Startup,4,2025,Onsite,40.2,4.53,17,55.53970542148884,0.104,61,2.35,66.85,4,81.72,18.1,19,65,40,72,46,73,40,86,1.09,68
37,Australia,Software Engineer AI,NLP,Lead,19,155111,24453,Master,Automotive,Enterprise,5,2024,Onsite,53.3,3.67,28,72.24856887074628,0.114,78,6.01,97.16,9,85.54,16.2,15,79,73,80,63,66,30,39,2.24,75
38,Australia,AI Engineer,Generative AI,Senior,8,135937,25280,Bootcamp,Automotive,Small,6,2020,Onsite,48.0,4.0,20,24.21696893218074,0.062,71,2.6,84.61,8,59.26,16.2,24,57,57,85,50,66,60,87,1.03,80
39,Germany,Computer Vision Engineer,Analytics,Mid,4,99287,15047,Bachelor,Finance,Medium,3,2020,Onsite,45.9,4.35,3,31.967614598757372,0.263,86,0.64,78.57,7,92.97,23.9,17,26,19,65,54,72,34,4,2.41,68
40,USA,Data Analyst,Forecasting,Lead,17,162252,14041,Diploma,Education,Startup,7,2025,Onsite,42.4,3.21,38,53.2709218049563,0.051,73,7.37,50.67,6,67.58,36.2,22,64,52,86,62,67,85,32,2.42,83
41,UK,AI Engineer,NLP,Entry,0,74838,9416,Bootcamp,Telecom,Small,5,2024,Remote,51.3,4.37,21,65.99054341510882,0.389,53,6.33,55.59,11,59.61,24.7,17,16,59,66,50,63,12,18,2.09,68
42,Netherlands,Software Engineer AI,Generative AI,Lead,18,187810,36355,Bootcamp,Education,Enterprise,5,2020,Remote,40.4,4.38,18,46.67904480330924,0.127,64,1.32,73.61,14,72.07,38.3,25,58,34,78,50,87,24,97,1.34,77
43,Germany,Research Scientist,Forecasting,Lead,14,180739,9690,Bachelor,Retail,Medium,7,2023,Hybrid,45.1,4.34,13,80.36825392334043,0.084,86,6.04,77.4,6,66.09,39.3,18,43,41,92,79,68,38,70,0.59,79
44,Canada,Data Scientist,NLP,Mid,4,84240,13945,Master,Retail,Large,2,2022,Hybrid,47.7,4.52,17,67.14675085899887,0.229,69,1.75,89.04,9,80.19,18.5,20,70,60,76,48,66,69,54,1.54,68
45,USA,Data Analyst,LLM,Lead,15,164419,13081,Bootcamp,Telecom,Enterprise,5,2020,Hybrid,51.5,3.27,11,63.48548001495527,0.151,64,2.29,91.87,3,56.42,21.9,21,39,97,72,54,65,63,50,2.36,81
46,Australia,Data Analyst,Generative AI,Lead,14,93009,11108,Diploma,Retail,Medium,2,2021,Hybrid,37.5,4.07,17,87.30204154332017,0.011,61,2.25,92.55,8,84.36,27.6,22,93,22,90,43,82,49,60,2.24,80
47,UK,AI Engineer,LLM,Lead,15,172678,34093,Bachelor,Education,Enterprise,7,2026,Hybrid,47.8,3.51,26,76.0473206280221,0.121,79,7.2,49.63,5,68.06,28.8,24,24,7,83,76,70,21,34,0.73,84
48,Australia,Software Engineer AI,Analytics,Mid,3,89712,12720,Diploma,Consulting,Medium,4,2020,Hybrid,54.3,3.29,19,83.39415903574255,0.165,75,3.38,49.11,7,89.1,41.7,12,61,3,80,52,56,36,96,1.85,70
49,Singapore,AI Engineer,LLM,Senior,9,144496,10420,Bachelor,Retail,Startup,3,2020,Remote,41.2,4.74,13,88.86082724993062,0.158,71,9.47,46.72,3,84.25,39.3,29,20,31,59,73,61,42,17,2.21,80
50,Netherlands,Machine Learning Engineer,Analytics,Mid,5,92263,8914,Master,Consulting,Medium,6,2026,Onsite,40.0,3.93,16,61.33699713725734,0.178,75,0.49,74.17,14,55.71,35.9,13,100,21,80,46,73,45,40,1.09,73
51,Canada,AI Engineer,Generative AI,Senior,9,144848,11809,Master,Education,Large,2,2023,Onsite,40.3,4.45,20,26.564984727187657,0.162,93,1.7,47.18,14,74.22,15.1,30,32,14,84,52,72,47,90,0.98,86
52,France,Machine Learning Engineer,Generative AI,Entry,0,63084,3351,PhD,Gaming,Enterprise,2,2023,Onsite,53.9,3.37,17,76.30145649170535,0.417,51,0.87,80.0,13,83.26,12.9,20,2,54,64,33,55,12,63,2.37,67
53,Canada,NLP Engineer,Generative AI,Senior,6,114541,22686,Master,Consulting,Small,7,2026,Onsite,37.5,4.24,26,45.36576619190978,0.125,80,8.52,71.36,13,79.63,21.9,18,79,69,83,86,93,26,100,1.44,83
54,Netherlands,Computer Vision Engineer,Analytics,Lead,16,141862,26137,Master,Education,Medium,2,2024,Hybrid,40.3,4.55,31,62.853826054132576,0.079,100,9.47,79.58,10,84.41,35.0,17,97,60,86,92,80,28,73,1.51,81
55,Brazil,NLP Engineer,Analytics,Senior,7,62492,9272,Master,Tech,Large,5,2026,Remote,53.1,4.21,26,54.30684754898727,0.164,65,4.12,65.51,8,75.5,24.4,18,44,36,71,60,58,50,77,0.64,62
56,Japan,Research Scientist,Computer Vision,Entry,0,61616,12201,Master,Energy,Small,7,2025,Hybrid,39.1,3.73,27,23.685151981994206,0.419,32,3.84,69.68,10,81.78,16.4,27,98,31,67,27,75,50,89,1.4,68
57,Netherlands,Computer Vision Engineer,MLOps,Lead,19,187463,31897,Master,Tech,Startup,5,2024,Onsite,52.0,4.22,15,92.38146370409514,0.063,67,7.69,57.36,6,62.2,14.7,19,85,75,78,61,55,64,48,0.71,75
58,Netherlands,Software Engineer AI,Analytics,Lead,14,117325,8824,Diploma,Energy,Medium,4,2024,Hybrid,45.3,4.74,25,2.867403192513592,0.126,76,6.4,59.04,7,81.47,41.4,17,16,93,77,68,77,28,25,1.25,74
59,India,Machine Learning Engineer,Forecasting,Mid,3,34822,5398,PhD,Retail,Small,7,2024,Onsite,40.1,4.42,26,76.36654550008684,0.19,86,6.33,95.91,11,72.53,39.0,29,37,13,72,72,90,47,25,2.26,74
60,France,Data Analyst,LLM,Senior,8,82818,9430,Bootcamp,Healthcare,Medium,3,2025,Hybrid,47.6,4.19,7,74.96668364001263,0.098,85,5.44,70.49,3,70.19,37.9,11,71,38,88,54,57,33,90,1.54,64
61,UK,Computer Vision Engineer,MLOps,Entry,1,83483,15723,Diploma,Tech,Enterprise,5,2022,Hybrid,46.4,3.3,19,11.503868226175186,0.396,49,7.15,96.39,8,69.06,15.0,15,7,33,64,61,71,12,62,1.47,71
62,Canada,Machine Learning Engineer,LLM,Lead,19,194342,31855,Master,Consulting,Startup,3,2023,Onsite,49.6,3.88,24,40.0792945444134,0.099,72,3.92,49.79,7,87.63,23.2,12,32,16,68,55,54,68,72,1.55,75
63,Australia,Data Analyst,MLOps,Lead,18,150191,22870,Bootcamp,Consulting,Large,5,2023,Hybrid,47.6,3.44,18,42.364149619478404,0.106,72,4.02,68.32,12,61.12,19.1,29,8,79,77,51,61,33,95,2.24,73
64,Canada,Data Analyst,NLP,Mid,2,50271,3331,Master,Automotive,Startup,3,2026,Onsite,40.4,4.44,16,72.34982410230838,0.194,72,3.84,59.57,4,80.81,29.9,15,1,53,66,70,85,29,58,1.3,74
65,Japan,Computer Vision Engineer,MLOps,Senior,6,87178,9620,PhD,Tech,Small,7,2025,Hybrid,52.7,4.1,11,59.20814641223346,0.161,72,6.25,97.67,4,62.01,32.7,17,34,81,70,64,46,13,76,0.9,67
66,UAE,Data Analyst,Reinforcement Learning,Lead,19,107973,13157,Master,Finance,Enterprise,4,2020,Remote,48.8,3.34,11,69.2076810133828,0.0,65,1.06,96.53,4,77.15,21.2,11,22,40,85,43,74,57,77,1.29,75
67,Japan,Research Scientist,MLOps,Lead,18,212050,42084,Diploma,Finance,Large,4,2025,Onsite,43.4,3.33,31,89.07465545040989,0.102,64,4.86,67.16,11,61.94,32.8,25,57,11,72,62,79,71,77,1.19,88
68,USA,NLP Engineer,LLM,Senior,9,156680,32677,Bachelor,Education,Medium,3,2023,Onsite,38.6,4.75,25,26.24118544407864,0.044,100,8.55,68.79,12,67.47,27.2,28,3,98,93,80,80,61,87,1.38,84
69,France,AI Engineer,Forecasting,Mid,5,97722,4891,PhD,Consulting,Enterprise,3,2023,Onsite,46.7,3.69,7,26.87221386521059,0.182,68,1.98,50.56,9,82.69,13.9,30,63,12,69,51,73,56,61,1.52,72
70,India,NLP Engineer,NLP,Senior,6,37185,3255,PhD,Gaming,Startup,5,2025,Onsite,51.0,3.97,21,68.14204041717522,0.105,57,3.96,46.06,10,65.39,34.8,19,85,52,80,34,43,83,98,0.77,60
71,Singapore,AI Engineer,MLOps,Lead,18,200514,21052,PhD,Finance,Medium,2,2021,Hybrid,41.1,4.46,17,47.16718123861447,0.101,87,6.21,94.06,11,93.21,35.6,10,85,70,84,68,68,52,60,1.13,90
72,Australia,AI Engineer,Forecasting,Mid,2,90002,5669,Diploma,Energy,Medium,2,2020,Remote,51.7,4.39,24,42.211854102970875,0.196,69,4.81,81.25,7,87.09,15.2,27,17,37,66,58,51,25,57,0.57,67
73,Japan,Computer Vision Engineer,Reinforcement Learning,Entry,1,74596,8209,Master,Tech,Enterprise,4,2021,Onsite,39.5,4.27,23,75.84066715643218,0.331,53,1.82,45.57,3,65.22,19.8,27,53,12,63,32,89,21,29,0.64,70
74,Canada,Computer Vision Engineer,MLOps,Entry,0,70197,4010,Bootcamp,Healthcare,Large,7,2025,Hybrid,48.5,4.69,23,65.68172511748496,0.453,97,1.39,82.18,9,74.84,12.4,25,61,32,56,58,67,12,59,2.48,61
75,Singapore,Data Scientist,NLP,Lead,13,170240,33440,Bachelor,Retail,Enterprise,4,2026,Hybrid,49.8,3.98,27,52.47922866503971,0.122,60,7.42,53.29,8,68.7,24.4,26,35,1,85,60,61,29,37,2.02,76
76,Japan,Research Scientist,Forecasting,Lead,12,144163,14500,PhD,Healthcare,Large,4,2022,Onsite,50.5,3.7,20,71.20411586047425,0.171,80,1.69,85.83,11,87.6,30.4,22,59,42,77,58,58,29,25,1.88,71
77,Japan,Data Analyst,LLM,Lead,19,131001,18892,PhD,Retail,Large,7,2024,Hybrid,52.7,3.25,14,40.23381115844748,0.008,56,9.47,54.18,14,62.25,23.6,22,50,85,80,65,50,70,84,1.3,63
78,UK,Computer Vision Engineer,Analytics,Entry,0,65532,10432,Bachelor,Healthcare,Enterprise,5,2025,Remote,47.5,3.54,32,88.95906362960937,0.386,62,6.49,90.38,11,75.81,23.2,24,2,93,68,56,68,37,19,0.74,66
79,Australia,Data Scientist,Analytics,Entry,0,63507,4131,Bootcamp,Consulting,Medium,7,2024,Hybrid,44.0,4.77,19,65.3816451914753,0.404,52,6.12,54.09,13,83.01,29.6,12,43,87,64,56,70,12,69,1.67,76
80,Australia,Software Engineer AI,Computer Vision,Lead,17,172920,17427,Master,Energy,Startup,7,2025,Onsite,51.3,3.56,15,62.231883086054324,0.132,69,4.46,52.22,7,70.95,39.7,17,96,12,71,56,43,50,56,1.44,71
81,Canada,Machine Learning Engineer,LLM,Lead,16,144823,8645,Bachelor,Healthcare,Medium,4,2026,Remote,40.7,3.58,20,51.01996428480697,0.031,59,2.73,85.28,7,76.93,15.8,21,48,56,96,40,77,76,19,2.26,87
82,Germany,NLP Engineer,Computer Vision,Mid,2,61359,7436,Bootcamp,Healthcare,Small,5,2026,Onsite,46.7,4.07,9,65.20699931298586,0.224,59,4.51,98.93,13,64.1,24.1,17,64,75,77,44,68,30,19,1.59,65
83,Germany,Computer Vision Engineer,LLM,Senior,11,130301,20091,Diploma,Consulting,Medium,4,2020,Onsite,48.6,3.52,9,51.08084227920795,0.108,65,2.21,59.22,11,61.59,21.9,15,10,57,81,51,73,29,45,2.01,78
84,Brazil,Research Scientist,MLOps,Lead,17,77300,5524,Master,Automotive,Large,5,2022,Hybrid,46.6,4.44,30,61.83762131276346,0.031,78,5.34,98.05,4,63.15,27.7,17,49,74,85,58,66,32,46,1.07,61
85,Brazil,Research Scientist,MLOps,Senior,9,74091,7186,Bachelor,Tech,Large,6,2024,Onsite,46.6,3.9,1,74.14074729227676,0.132,52,1.74,78.84,14,58.34,38.5,11,78,96,87,52,58,30,64,2.11,65
86,France,Data Analyst,MLOps,Senior,11,78397,17092,Master,Retail,Small,7,2022,Remote,54.9,3.5,10,76.12708595936658,0.027,71,9.31,92.2,13,87.76,28.2,30,6,40,91,67,46,48,57,1.92,70
87,USA,Software Engineer AI,Analytics,Mid,5,139589,28367,Diploma,Finance,Medium,3,2022,Remote,52.7,4.24,23,44.79470244004161,0.114,87,5.09,79.15,5,69.09,37.2,27,47,68,81,69,52,24,65,1.44,76
88,France,Data Scientist,Analytics,Senior,8,103262,7379,Bachelor,Consulting,Medium,5,2022,Remote,39.3,4.42,14,58.620873805711106,0.021,88,8.16,67.46,5,85.37,39.1,17,87,93,87,82,85,32,87,0.97,80
89,Australia,Software Engineer AI,MLOps,Entry,0,74189,12096,Bootcamp,Telecom,Startup,2,2025,Hybrid,38.1,4.67,23,89.19787482811388,0.4,68,4.36,60.4,8,89.33,20.8,18,75,49,52,41,83,58,82,2.32,66
90,India,Machine Learning Engineer,Analytics,Mid,3,37506,7227,Bootcamp,Consulting,Startup,3,2023,Onsite,46.1,4.56,34,71.96161978482162,0.182,74,6.11,81.73,4,78.73,38.8,30,60,90,67,52,51,49,39,0.87,69
91,UAE,NLP Engineer,LLM,Entry,0,58980,11352,PhD,Healthcare,Startup,5,2023,Remote,46.9,3.91,24,42.67867218009455,0.352,48,6.33,78.39,4,80.25,29.8,17,69,18,53,58,54,54,50,1.91,61
92,Netherlands,Software Engineer AI,Generative AI,Lead,15,157813,11423,Bachelor,Education,Small,5,2022,Onsite,54.7,3.51,16,23.50039826406166,0.116,62,2.7,78.59,9,66.23,18.2,18,5,89,81,50,57,80,48,1.53,69
93,Germany,Computer Vision Engineer,Computer Vision,Lead,17,185075,10811,PhD,Retail,Medium,6,2026,Onsite,44.3,4.6,15,22.703369850818923,0.095,76,2.23,72.15,8,83.09,41.8,11,51,36,83,57,69,38,25,0.76,89
94,Canada,Computer Vision Engineer,LLM,Entry,1,66134,7689,Bachelor,Retail,Enterprise,4,2026,Remote,48.8,3.87,8,70.03889700257369,0.409,76,2.96,86.31,5,57.84,14.4,28,27,9,64,52,73,20,98,1.21,74
95,Singapore,Data Analyst,NLP,Mid,4,67575,10800,Bootcamp,Retail,Medium,2,2022,Hybrid,38.6,3.98,18,100.0,0.22,76,1.28,76.75,5,56.75,15.7,14,70,33,72,57,81,37,23,1.62,77
96,Canada,AI Engineer,Reinforcement Learning,Mid,4,90785,17144,Bootcamp,Tech,Medium,4,2022,Remote,37.5,4.13,15,74.50490943694334,0.172,62,5.25,65.41,5,79.04,33.2,18,7,17,84,50,87,12,95,1.88,80
97,Australia,Machine Learning Engineer,Analytics,Entry,0,71124,5558,Bootcamp,Consulting,Large,6,2025,Remote,43.2,3.93,19,16.91344008152214,0.36,73,0.26,82.86,10,60.62,26.6,26,29,79,55,39,82,20,6,0.56,71
98,Japan,Research Scientist,Forecasting,Lead,14,158193,11561,Diploma,Tech,Startup,5,2021,Onsite,43.5,4.52,16,68.25501046332275,0.074,69,3.11,99.12,4,66.54,40.8,25,92,57,69,51,65,64,10,1.28,65
99,Canada,Software Engineer AI,MLOps,Mid,2,92259,16745,Bootcamp,Finance,Small,7,2023,Onsite,40.7,3.76,7,57.21992333902972,0.179,77,8.0,76.93,11,60.57,25.3,20,49,77,76,65,85,49,68,1.75,80
100,France,Computer Vision Engineer,Reinforcement Learning,Lead,14,124104,22711,Diploma,Finance,Startup,5,2026,Remote,44.8,4.59,26,43.58182409495779,0.035,86,7.0,52.19,9,86.62,15.7,20,59,52,78,76,63,53,54,2.09,82
101,Japan,Machine Learning Engineer,MLOps,Senior,9,114116,6374,PhD,Telecom,Medium,3,2022,Onsite,41.7,3.85,17,84.54748507559472,0.035,72,4.77,90.51,10,85.58,29.2,12,12,11,93,70,93,17,12,2.41,79
102,Australia,Machine Learning Engineer,LLM,Senior,6,91562,4627,Bootcamp,Healthcare,Enterprise,6,2022,Onsite,40.9,3.54,11,35.56556735495775,0.011,85,0.49,97.66,8,55.35,41.9,13,53,46,89,53,90,29,86,1.85,82
103,Australia,AI Engineer,Analytics,Senior,6,89120,4491,Bachelor,Education,Medium,6,2023,Onsite,36.1,3.85,13,58.40718209624,0.074,67,8.91,48.63,6,68.95,15.3,14,85,62,88,69,91,30,29,2.12,76
104,Canada,Software Engineer AI,Reinforcement Learning,Senior,10,136564,6969,Diploma,Finance,Medium,6,2025,Onsite,45.1,3.71,14,66.309524658481,0.044,76,1.55,71.2,12,64.04,31.2,30,72,4,92,53,76,40,78,2.46,79
105,UAE,Research Scientist,MLOps,Entry,0,57484,6940,PhD,Healthcare,Medium,4,2023,Remote,44.6,3.43,23,62.309533546292215,0.345,80,7.84,87.64,5,65.86,26.9,14,73,85,71,56,84,64,52,1.07,67
106,Canada,Data Scientist,Reinforcement Learning,Entry,1,78971,13637,Diploma,Finance,Enterprise,5,2023,Hybrid,47.3,4.46,23,71.7446108123551,0.347,50,8.53,94.05,8,72.35,39.3,15,48,40,79,58,66,13,93,1.25,65
107,India,Machine Learning Engineer,LLM,Entry,1,31809,2217,Bachelor,Healthcare,Small,4,2024,Hybrid,40.8,3.28,11,62.38856519010021,0.384,64,8.34,64.8,13,93.27,27.0,23,63,78,60,65,75,18,57,1.37,57
108,Australia,Research Scientist,Analytics,Mid,4,89192,14079,Diploma,Energy,Startup,2,2023,Hybrid,49.7,4.38,1,79.09519121902812,0.166,76,3.65,62.36,13,80.79,23.9,28,63,68,72,63,55,58,86,1.93,66
109,France,AI Engineer,LLM,Mid,3,77568,5003,Bachelor,Telecom,Enterprise,3,2023,Hybrid,46.3,3.22,22,65.61499766934489,0.186,67,1.13,70.53,6,93.54,27.6,14,98,33,79,45,67,30,38,1.86,77
110,India,Machine Learning Engineer,NLP,Entry,1,29307,2796,Master,Consulting,Large,5,2023,Onsite,37.5,3.2,19,74.76116249598891,0.358,67,3.76,61.49,14,80.86,41.2,17,65,72,63,40,79,24,86,2.19,70
111,India,Machine Learning Engineer,LLM,Lead,12,58569,11190,Diploma,Tech,Large,2,2023,Hybrid,53.1,4.07,14,47.84446322280172,0.002,83,6.8,97.95,12,58.02,23.0,23,74,52,94,65,55,39,91,0.95,68
112,UAE,NLP Engineer,LLM,Senior,9,111574,22575,PhD,Finance,Large,3,2020,Onsite,39.1,3.92,25,56.090959042148796,0.057,84,6.18,52.39,10,93.32,27.9,21,12,56,82,64,90,34,14,0.98,81
113,Germany,NLP Engineer,Generative AI,Lead,16,181142,38690,PhD,Energy,Startup,7,2020,Hybrid,39.4,3.52,20,83.23010696854224,0.113,74,4.46,97.33,6,94.79,33.4,20,100,22,74,63,80,93,10,2.46,87
