EmployeeID,Age,Department,Education,YearsAtCompany,Salary,PerformanceRating,WorkLifeBalance,JobSatisfaction,Attrition,JobSatisfaction_outlier
E041,30,Engineering,Master,5,76000,4,2,4,No,False
E042,37,Marketing,Master,9,73000,4,3,4,No,False
E043,26,Sales,Bachelor,1,44000,3,3,2,Yes,False
E044,33,Engineering,Bachelor,7,74000,4,2,4,No,False
E045,40,HR,Master,10,66000,3,3,4,No,False
E046,28,Sales,Bachelor,2,45000,3,3,3,Yes,False
E047,36,Engineering,PhD,10,87000,5,2,5,No,False
E048,31,Marketing,Bachelor,5,68000,3,3,4,No,False
E049,43,Sales,Bachelor,17,52000,2,4,1,Yes,True
E050,29,Engineering,Master,4,75000,4,2,4,No,False
E051,38,HR,Bachelor,9,63000,3,3,4,No,False
E052,27,Sales,Bachelor,1,43000,3,3,2,Yes,False
E053,34,Engineering,Master,8,79000,4,2,4,No,False
E054,41,Marketing,Master,12,74000,4,3,4,No,False
E055,30,Sales,Bachelor,4,48000,3,3,3,Yes,False
E056,35,Engineering,Bachelor,8,76000,4,2,4,No,False
E057,39,HR,Master,10,65000,3,3,4,No,False
E058,26,Sales,Bachelor,1,44000,3,3,2,Yes,False
E059,42,Engineering,PhD,15,91000,5,2,5,No,False
E060,32,Marketing,Bachelor,6,69000,3,3,4,No,False
E061,37,Sales,Bachelor,11,49000,2,4,2,Yes,False
E062,29,Engineering,Master,4,74000,4,2,4,No,False
E063,33,HR,Bachelor,7,61000,3,3,4,No,False
E064,40,Sales,Bachelor,14,51000,2,4,1,Yes,True
E065,28,Engineering,Bachelor,3,73000,4,2,4,No,False
E066,36,Marketing,Master,9,72000,4,3,4,No,False
E067,31,Sales,Bachelor,5,47000,3,3,3,Yes,False
E068,44,Engineering,PhD,17,95000,5,2,5,No,False
E069,34,HR,Master,8,64000,3,3,4,No,False
E070,27,Sales,Bachelor,2,45000,3,3,2,Yes,False
E071,38,Engineering,Master,10,80000,4,2,4,No,False
E072,32,Marketing,Bachelor,6,70000,3,3,4,No,False
E073,41,Sales,Bachelor,15,50000,2,4,1,Yes,True
E074,30,Engineering,Bachelor,5,75000,4,2,4,No,False
E075,35,HR,Bachelor,8,62000,3,3,4,No,False
E076,28,Sales,Bachelor,2,46000,3,3,3,Yes,False
E077,43,Engineering,Master,16,89000,5,2,5,No,False
E078,33,Marketing,Master,7,71000,4,3,4,No,False
E079,39,Sales,Bachelor,13,51000,2,4,2,Yes,False
E080,29,Engineering,Bachelor,4,74000,4,2,4,No,False
E081,36,HR,Master,9,65000,3,3,4,No,False
E082,26,Sales,Bachelor,1,43000,3,3,2,Yes,False
E083,42,Engineering,PhD,14,92000,5,2,5,No,False
E084,31,Marketing,Bachelor,5,68000,3,3,4,No,False
E085,37,Sales,Bachelor,12,49000,2,4,1,Yes,True
E086,30,Engineering,Master,5,76000,4,2,4,No,False
E087,34,HR,Bachelor,7,62000,3,3,4,No,False
E088,40,Sales,Bachelor,16,52000,2,4,2,Yes,False
E089,28,Engineering,Bachelor,3,73000,4,2,4,No,False
E090,35,Marketing,Master,8,72000,4,3,4,No,False
E091,32,Sales,Bachelor,6,48000,3,3,3,Yes,False
E092,45,Engineering,PhD,18,96000,5,2,5,No,False
E093,33,HR,Master,7,63000,3,3,4,No,False
E094,27,Sales,Bachelor,1,44000,3,3,2,Yes,False
E095,38,Engineering,Master,11,81000,4,2,4,No,False
E096,31,Marketing,Bachelor,5,69000,3,3,4,No,False
E097,41,Sales,Bachelor,14,50000,2,4,1,Yes,True
E098,29,Engineering,Bachelor,4,74000,4,2,4,No,False
E099,36,HR,Bachelor,9,63000,3,3,4,No,False
E100,28,Sales,Bachelor,2,45000,3,3,3,Yes,False
E101,43,Engineering,Master,15,88000,5,2,5,No,False
E102,34,Marketing,Master,7,71000,4,3,4,No,False
E103,39,Sales,Bachelor,13,51000,2,4,2,Yes,False
E104,30,Engineering,Bachelor,5,75000,4,2,4,No,False
E105,35,HR,Master,8,64000,3,3,4,No,False
E106,27,Sales,Bachelor,1,43000,3,3,2,Yes,False
E107,42,Engineering,PhD,16,93000,5,2,5,No,False
E108,32,Marketing,Bachelor,6,69000,3,3,4,No,False
E109,37,Sales,Bachelor,11,49000,2,4,1,Yes,True
E110,29,Engineering,Master,4,76000,4,2,4,No,False
E111,33,HR,Bachelor,7,61000,3,3,4,No,False
E112,40,Sales,Bachelor,15,52000,2,4,2,Yes,False
E113,28,Engineering,Bachelor,3,73000,4,2,4,No,False
E114,36,Marketing,Master,9,72000,4,3,4,No,False
E115,31,Sales,Bachelor,5,47000,3,3,3,Yes,False
E116,44,Engineering,PhD,17,94000,5,2,5,No,False
E117,34,HR,Master,8,64000,3,3,4,No,False
E118,26,Sales,Bachelor,1,44000,3,3,2,Yes,False
E119,38,Engineering,Master,10,80000,4,2,4,No,False
E120,32,Marketing,Bachelor,6,70000,3,3,4,No,False
E121,41,Sales,Bachelor,14,50000,2,4,1,Yes,True
E122,30,Engineering,Bachelor,5,75000,4,2,4,No,False
E123,35,HR,Bachelor,8,62000,3,3,4,No,False
E124,28,Sales,Bachelor,2,46000,3,3,3,Yes,False
E125,43,Engineering,Master,16,89000,5,2,5,No,False
E126,33,Marketing,Master,7,71000,4,3,4,No,False
E127,39,Sales,Bachelor,12,51000,2,4,2,Yes,False
E128,29,Engineering,Bachelor,4,74000,4,2,4,No,False
E129,36,HR,Master,9,65000,3,3,4,No,False
E130,27,Sales,Bachelor,1,43000,3,3,2,Yes,False
E131,42,Engineering,PhD,14,92000,5,2,5,No,False
E132,31,Marketing,Bachelor,5,68000,3,3,4,No,False
E133,37,Sales,Bachelor,13,49000,2,4,1,Yes,True
E134,30,Engineering,Master,5,76000,4,2,4,No,False
E135,34,HR,Bachelor,7,62000,3,3,4,No,False
E136,40,Sales,Bachelor,16,52000,2,4,2,Yes,False
E137,28,Engineering,Bachelor,3,73000,4,2,4,No,False
E138,35,Marketing,Master,8,72000,4,3,4,No,False
E139,32,Sales,Bachelor,6,48000,3,3,3,Yes,False
E140,45,Engineering,PhD,18,95000,5,2,5,No,False
E141,33,HR,Master,7,63000,3,3,4,No,False
E142,26,Sales,Bachelor,1,44000,3,3,2,Yes,False
E143,38,Engineering,Master,11,81000,4,2,4,No,False
E144,31,Marketing,Bachelor,5,69000,3,3,4,No,False
E145,41,Sales,Bachelor,14,50000,2,4,1,Yes,True
E146,29,Engineering,Bachelor,4,74000,4,2,4,No,False
E147,36,HR,Bachelor,9,63000,3,3,4,No,False
E148,28,Sales,Bachelor,2,45000,3,3,3,Yes,False
E149,43,Engineering,Master,15,88000,5,2,5,No,False
E150,34,Marketing,Master,7,71000,4,3,4,No,False
E151,39,Sales,Bachelor,13,51000,2,4,2,Yes,False
E152,30,Engineering,Bachelor,5,75000,4,2,4,No,False
E153,35,HR,Master,8,64000,3,3,4,No,False
E154,27,Sales,Bachelor,1,43000,3,3,2,Yes,False
E155,42,Engineering,PhD,16,93000,5,2,5,No,False
E156,32,Marketing,Bachelor,6,69000,3,3,4,No,False
E157,37,Sales,Bachelor,11,49000,2,4,1,Yes,True
E158,29,Engineering,Master,4,76000,4,2,4,No,False
E159,33,HR,Bachelor,7,61000,3,3,4,No,False
E160,40,Sales,Bachelor,15,52000,2,4,2,Yes,False
E161,28,Engineering,Bachelor,3,73000,4,2,4,No,False
E162,36,Marketing,Master,9,72000,4,3,4,No,False
E163,31,Sales,Bachelor,5,47000,3,3,3,Yes,False
E164,44,Engineering,PhD,17,94000,5,2,5,No,False
E165,34,HR,Master,8,64000,3,3,4,No,False
E166,26,Sales,Bachelor,1,44000,3,3,2,Yes,False
E167,38,Engineering,Master,10,80000,4,2,4,No,False
E168,32,Marketing,Bachelor,6,70000,3,3,4,No,False
E169,41,Sales,Bachelor,14,50000,2,4,1,Yes,True
E170,30,Engineering,Bachelor,5,75000,4,2,4,No,False
E171,35,HR,Bachelor,8,62000,3,3,4,No,False
E172,28,Sales,Bachelor,2,46000,3,3,3,Yes,False
E173,43,Engineering,Master,16,89000,5,2,5,No,False
E174,33,Marketing,Master,7,71000,4,3,4,No,False
E175,39,Sales,Bachelor,12,51000,2,4,2,Yes,False
E176,29,Engineering,Bachelor,4,74000,4,2,4,No,False
E177,36,HR,Master,9,65000,3,3,4,No,False
E178,27,Sales,Bachelor,1,43000,3,3,2,Yes,False
E179,42,Engineering,PhD,14,92000,5,2,5,No,False
E180,31,Marketing,Bachelor,5,68000,3,3,4,No,False
E181,37,Sales,Bachelor,13,49000,2,4,1,Yes,True
E182,30,Engineering,Master,5,76000,4,2,4,No,False
E183,34,HR,Bachelor,7,62000,3,3,4,No,False
E184,40,Sales,Bachelor,16,52000,2,4,2,Yes,False
E185,28,Engineering,Bachelor,3,73000,4,2,4,No,False
E186,35,Marketing,Master,8,72000,4,3,4,No,False
E187,32,Sales,Bachelor,6,48000,3,3,3,Yes,False
E188,45,Engineering,PhD,18,96000,5,2,5,No,False
E189,33,HR,Master,7,63000,3,3,4,No,False
E190,26,Sales,Bachelor,1,44000,3,3,2,Yes,False
E191,38,Engineering,Master,11,81000,4,2,4,No,False
E192,31,Marketing,Bachelor,5,69000,3,3,4,No,False
E193,41,Sales,Bachelor,14,50000,2,4,1,Yes,True
E194,29,Engineering,Bachelor,4,74000,4,2,4,No,False
E195,36,HR,Bachelor,9,63000,3,3,4,No,False
E196,28,Sales,Bachelor,2,45000,3,3,3,Yes,False
E197,43,Engineering,Master,15,88000,5,2,5,No,False
E198,34,Marketing,Master,7,71000,4,3,4,No,False
E199,39,Sales,Bachelor,13,51000,2,4,2,Yes,False
E200,30,Engineering,Bachelor,5,75000,4,2,4,No,False
